GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeper,default,Board,955,0,144,0,141,0,83,0,11,0
Minesweeper,default,Game,186,25,11,0,44,10,10,5,4,5
Minesweeper,default,Minesweeper,10,0,0,0,4,0,2,0,2,0
Minesweeper,default,Tile,0,58,0,6,0,24,0,13,0,10
Minesweeper,ui,UserIOImpl,118,9,18,0,38,2,19,1,10,1
